assigned,school_name,D2,instr_overall_ratio,instr_only_ratio,school_total,instruction,instructional_support,administration,grade,pta,magnet,debate
MEGHA,TILDENVILLE ELEMENTARY,,0.75,0.69,"4,441,336","3,042,567","267,780","434,077",A,0,1,0
MEGHA,UNION PARK ELEMENTARY,,0.74,0.66,"3,459,373","2,290,434","267,780","308,876",C,1,1,0
MEGHA,VENTURA ELEMENTARY,1,0.77,0.70,"4,273,008","2,986,000","307,506","433,880",C,0,0,0
MEGHA,VILLAGE PARK ELEMENTARY,1,0.79,0.73,"4,441,513","3,222,967","267,780","434,875",A,1,0,0
MEGHA,VISTA LAKES ELEMENTARY,1,0.79,0.73,"5,137,754","3,726,256","347,232","435,461",B,1,0,0
MEGHA,VISTA POINTE ELEMENTARY,1,0.77,0.70,"4,132,741","2,878,001","307,506","433,745",A,0,0,0
MEGHA,WASHINGTON SHORES ELEMENTARY,,0.69,0.61,"2,891,481","1,775,534","228,054","407,312",B,0,0,0
MEGHA,WATER SPRING ELEMENTARY,,0.84,0.79,"8,586,736","6,786,790","421,742","640,904",A,0,0,0
MEGHA,WATERBRIDGE ELEMENTARY,,0.75,0.69,"4,018,569","2,760,485","267,780","433,565",A,1,0,0
MEGHA,WATERFORD ELEMENTARY,,0.73,0.66,"3,978,355","2,640,939","267,780","408,574",A,1,0,0
MEGHA,WEST CREEK ELEMENTARY,,0.80,0.74,"5,051,372","3,724,292","307,506","307,506",A,1,0,0
MEGHA,WEST OAKS ELEMENTARY,,0.75,0.68,"3,485,291","2,371,808","228,054","308,753",C,0,0,0
MEGHA,WESTBROOKE ELEMENTARY,,0.73,0.68,"4,012,357","2,720,001","228,054","433,394",A,0,0,0
MEGHA,WESTPOINTE ELEMENTARY,,0.82,0.77,"5,200,367","3,980,137","307,506","436,537",A,1,0,0
MEGHA,WETHERBEE ELEMENTARY,,0.82,0.78,"6,597,728","5,125,290","307,506","513,795",A,0,0,0
MEGHA,WHEATLEY ELEMENTARY,,0.73,0.66,"3,191,903","2,097,870","228,054","407,312",C,0,0,0
MEGHA,WHISPERING OAK ELEMENTARY,,0.79,0.74,"5,381,258","3,997,356","267,780","436,396",A,0,0,0
MEGHA,WINDERMERE ELEMENTARY,,0.77,0.71,"4,388,380","3,099,161","267,780","434,307",A,0,0,0
MEGHA,WINEGARD ELEMENTARY,,0.77,0.71,"4,637,590","3,279,220","307,506","434,953",C,1,0,0
MEGHA,WOLF LAKE ELEMENTARY,,0.79,0.74,"5,338,303","3,958,819","267,780","436,248",A,0,0,0
MEGHA,WYNDHAM LAKES ELEMENTARY,,0.80,0.73,"5,263,444","3,868,057","347,232","435,852",B,0,0,0
MEGHA,ZELLWOOD ELEMENTARY,,0.77,0.70,"3,816,758","2,684,247","267,780","309,955",B,0,0,0
MEGHA,HILLCREST ELEMENTARY,,0.72,0.66,"3,980,085","2,613,311","267,780","408,789",B,1,1,0
MEGHA,OAK HILL ELEMENTARY,,0.79,0.70,"3,716,780","2,612,436","307,506","309,259",B,0,0,0
